solar irradiance	太阳辐照度
C rate strategy	C ratestrategy
C rate method	C ratemethod
C rate approach	C rateapproach
DOD system	DODsystem
DOD design	DODdesign
DOD testing	DODtesting
DOD validation	DODvalidation
DOD optimization	DODoptimization
DOD management	DODmanagement
DOD control	DODcontrol
DOD monitoring	DODmonitoring
DOD method	DODmethod
SOC system	SOCsystem
SOC simulation	SOCsimulation
SOC testing	SOCtesting
SOC validation	SOCvalidation
SOC optimization	SOCoptimization
SOC control	SOCcontrol
SOC monitoring	SOCmonitoring
SOC strategy	SOCstrategy
SOC method	SOCmethod
SOC approach	SOCapproach
SOH system	SOHsystem
SOH design	SOHdesign
SOH modeling	SOHmodeling
SOH simulation	SOHsimulation
SOH testing	SOHtesting
SOH optimization	SOHoptimization
SOH management	SOHmanagement
SOH control	SOHcontrol
SOH monitoring	SOHmonitoring
SOH strategy	SOHstrategy
SOH algorithm	SOHalgorithm
SOH method	SOHmethod
SOH approach	SOHapproach
degradation system	degradationsystem
degradation design	degradationdesign
degradation modeling	degradationmodeling
degradation testing	degradationtesting
degradation validation	degradationvalidation
degradation optimization	degradationoptimization
degradation management	degradationmanagement
degradation control	degradationcontrol
degradation monitoring	degradationmonitoring
degradation strategy	degradationstrategy
degradation algorithm	degradationalgorithm
degradation method	degradationmethod
degradation approach	degradationapproach
aging system	agingsystem
aging design	agingdesign
aging modeling	agingmodeling
aging validation	agingvalidation
aging optimization	agingoptimization
aging management	agingmanagement
aging control	agingcontrol
aging monitoring	agingmonitoring
aging strategy	agingstrategy
aging algorithm	agingalgorithm
aging method	agingmethod
aging approach	agingapproach
calendar aging system	calendar agingsystem
calendar aging design	calendar agingdesign
calendar aging modeling	calendar agingmodeling
calendar aging simulation	calendar agingsimulation
calendar aging testing	calendar agingtesting
calendar aging validation	calendar agingvalidation
calendar aging optimization	calendar agingoptimization
calendar aging management	calendar agingmanagement
calendar aging monitoring	calendar agingmonitoring
calendar aging strategy	calendar agingstrategy
calendar aging approach	calendar agingapproach
cycle aging system	cycle agingsystem
cycle aging simulation	cycle agingsimulation
cycle aging testing	cycle agingtesting
cycle aging validation	cycle agingvalidation
cycle aging optimization	cycle agingoptimization
cycle aging management	cycle agingmanagement
cycle aging control	cycle agingcontrol
cycle aging monitoring	cycle agingmonitoring
cycle aging strategy	cycle agingstrategy
cycle aging algorithm	cycle agingalgorithm
cycle aging method	cycle agingmethod
impedance design	impedancedesign
impedance modeling	impedancemodeling
impedance testing	impedancetesting
impedance validation	impedancevalidation
impedance optimization	impedanceoptimization
impedance management	impedancemanagement
impedance control	impedancecontrol
impedance monitoring	impedancemonitoring
impedance strategy	impedancestrategy
impedance method	impedancemethod
impedance approach	impedanceapproach
resistance system	resistancesystem
resistance design	resistancedesign
resistance simulation	resistancesimulation
resistance testing	resistancetesting
resistance validation	resistancevalidation
resistance optimization	resistanceoptimization
resistance control	resistancecontrol
resistance strategy	resistancestrategy
resistance algorithm	resistancealgorithm
resistance approach	resistanceapproach
conductivity system	conductivitysystem
conductivity design	conductivitydesign
conductivity modeling	conductivitymodeling
conductivity simulation	conductivitysimulation
conductivity testing	conductivitytesting
conductivity validation	conductivityvalidation
conductivity monitoring	conductivitymonitoring
conductivity strategy	conductivitystrategy
conductivity algorithm	conductivityalgorithm
conductivity method	conductivitymethod
conductivity approach	conductivityapproach
lithium system	lithiumsystem
lithium design	lithiumdesign
lithium simulation	lithiumsimulation
lithium testing	lithiumtesting
lithium validation	lithiumvalidation
lithium optimization	lithiumoptimization
lithium management	lithiummanagement
lithium control	lithiumcontrol
lithium strategy	lithiumstrategy
lithium method	lithiummethod
lithium approach	lithiumapproach
sodium design	sodiumdesign
sodium modeling	sodiummodeling
sodium simulation	sodiumsimulation
sodium validation	sodiumvalidation
sodium optimization	sodiumoptimization
sodium management	sodiummanagement
sodium control	sodiumcontrol
sodium monitoring	sodiummonitoring
sodium strategy	sodiumstrategy
sodium algorithm	sodiumalgorithm
sodium method	sodiummethod
sodium approach	sodiumapproach
vanadium system	vanadiumsystem
vanadium design	vanadiumdesign
vanadium modeling	vanadiummodeling
vanadium testing	vanadiumtesting
vanadium management	vanadiummanagement
vanadium control	vanadiumcontrol
vanadium monitoring	vanadiummonitoring
vanadium strategy	vanadiumstrategy
vanadium method	vanadiummethod
vanadium approach	vanadiumapproach
zinc design	zincdesign
zinc modeling	zincmodeling
zinc simulation	zincsimulation
zinc optimization	zincoptimization
zinc management	zincmanagement
zinc control	zinccontrol
zinc monitoring	zincmonitoring
zinc strategy	zincstrategy
zinc approach	zincapproach
lead system	leadsystem
lead modeling	leadmodeling
lead simulation	leadsimulation
lead optimization	leadoptimization
lead control	leadcontrol
lead monitoring	leadmonitoring
lead strategy	leadstrategy
lead algorithm	leadalgorithm
flow battery system	flow batterysystem
flow battery design	flow batterydesign
flow battery modeling	flow batterymodeling
flow battery simulation	flow batterysimulation
flow battery testing	flow batterytesting
flow battery validation	flow batteryvalidation
flow battery optimization	flow batteryoptimization
flow battery management	flow batterymanagement
flow battery control	flow batterycontrol
flow battery monitoring	flow batterymonitoring
flow battery algorithm	flow batteryalgorithm
flow battery method	flow batterymethod
solid state design	solid statedesign
solid state testing	solid statetesting
solid state validation	solid statevalidation
solid state optimization	solid stateoptimization
solid state management	solid statemanagement
solid state control	solid statecontrol
solid state algorithm	solid statealgorithm
solid state method	solid statemethod
solid state approach	solid stateapproach
sodium sulfur system	sodium sulfursystem
sodium sulfur testing	sodium sulfurtesting
sodium sulfur validation	sodium sulfurvalidation
sodium sulfur management	sodium sulfurmanagement
sodium sulfur control	sodium sulfurcontrol
sodium sulfur monitoring	sodium sulfurmonitoring
sodium sulfur algorithm	sodium sulfuralgorithm
sodium sulfur method	sodium sulfurmethod
sodium sulfur approach	sodium sulfurapproach
energy density modeling	energy densitymodeling
energy density simulation	energy densitysimulation
energy density prediction	energy densityprediction
energy density control	energy densitycontrol
energy density monitoring	energy densitymonitoring
energy density prognosis	energy densityprognosis
energy density design	energy densitydesign
energy density testing	energy densitytesting
energy density verification	energy densityverification
power density modeling	power densitymodeling
power density estimation	power densityestimation
power density prediction	power densityprediction
power density optimization	power densityoptimization
power density control	power densitycontrol
power density monitoring	power densitymonitoring
power density diagnosis	power densitydiagnosis
power density prognosis	power densityprognosis
power density development	power densitydevelopment
specific energy simulation	specific energysimulation
specific energy estimation	specific energyestimation
specific energy prediction	specific energyprediction
specific energy control	specific energycontrol
specific energy monitoring	specific energymonitoring
specific energy diagnosis	specific energydiagnosis
specific energy prognosis	specific energyprognosis
specific energy design	specific energydesign
specific energy development	specific energydevelopment
specific energy testing	specific energytesting
specific energy validation	specific energyvalidation
specific energy verification	specific energyverification
specific power modeling	specific powermodeling
specific power estimation	specific powerestimation
specific power analysis	specific poweranalysis
specific power optimization	specific poweroptimization
specific power monitoring	specific powermonitoring
specific power diagnosis	specific powerdiagnosis
specific power prognosis	specific powerprognosis
specific power design	specific powerdesign
specific power development	specific powerdevelopment
specific power testing	specific powertesting
specific power validation	specific powervalidation
specific power verification	specific powerverification
volumetric energy density modeling	volumetric energy densitymodeling
volumetric energy density simulation	volumetric energy densitysimulation
volumetric energy density prediction	volumetric energy densityprediction
volumetric energy density analysis	volumetric energy densityanalysis
volumetric energy density diagnosis	volumetric energy densitydiagnosis
volumetric energy density prognosis	volumetric energy densityprognosis
volumetric energy density design	volumetric energy densitydesign
volumetric energy density development	volumetric energy densitydevelopment
volumetric energy density testing	volumetric energy densitytesting
volumetric energy density validation	volumetric energy densityvalidation
volumetric energy density verification	volumetric energy densityverification
gravimetric energy density modeling	gravimetric energy densitymodeling
gravimetric energy density estimation	gravimetric energy densityestimation
gravimetric energy density prediction	gravimetric energy densityprediction
gravimetric energy density analysis	gravimetric energy densityanalysis
gravimetric energy density control	gravimetric energy densitycontrol
gravimetric energy density monitoring	gravimetric energy densitymonitoring
gravimetric energy density diagnosis	gravimetric energy densitydiagnosis
gravimetric energy density prognosis	gravimetric energy densityprognosis
gravimetric energy density design	gravimetric energy densitydesign
gravimetric energy density development	gravimetric energy densitydevelopment
gravimetric energy density testing	gravimetric energy densitytesting
gravimetric energy density verification	gravimetric energy densityverification
charging rate modeling	charging ratemodeling
charging rate simulation	charging ratesimulation
charging rate estimation	charging rateestimation
charging rate prediction	charging rateprediction
charging rate optimization	charging rateoptimization
charging rate control	charging ratecontrol
charging rate diagnosis	charging ratediagnosis
charging rate design	charging ratedesign
charging rate development	charging ratedevelopment
charging rate testing	charging ratetesting
charging rate verification	charging rateverification
discharging rate modeling	discharging ratemodeling
discharging rate simulation	discharging ratesimulation
discharging rate estimation	discharging rateestimation
discharging rate prediction	discharging rateprediction
discharging rate analysis	discharging rateanalysis
discharging rate optimization	discharging rateoptimization
discharging rate control	discharging ratecontrol
discharging rate monitoring	discharging ratemonitoring
discharging rate diagnosis	discharging ratediagnosis
discharging rate prognosis	discharging rateprognosis
discharging rate design	discharging ratedesign
discharging rate development	discharging ratedevelopment
peak power simulation	peak powersimulation
peak power estimation	peak powerestimation
peak power analysis	peak poweranalysis
peak power optimization	peak poweroptimization
peak power control	peak powercontrol
peak power monitoring	peak powermonitoring
peak power diagnosis	peak powerdiagnosis
peak power prognosis	peak powerprognosis
peak power development	peak powerdevelopment
peak power testing	peak powertesting
peak power validation	peak powervalidation
peak power verification	peak powerverification
continuous power modeling	continuous powermodeling
continuous power simulation	continuous powersimulation
continuous power estimation	continuous powerestimation
continuous power optimization	continuous poweroptimization
continuous power control	continuous powercontrol
continuous power diagnosis	continuous powerdiagnosis
continuous power prognosis	continuous powerprognosis
continuous power design	continuous powerdesign
continuous power development	continuous powerdevelopment
continuous power testing	continuous powertesting
continuous power validation	continuous powervalidation
continuous power verification	continuous powerverification
nominal voltage modeling	nominal voltagemodeling
nominal voltage simulation	nominal voltagesimulation
nominal voltage estimation	nominal voltageestimation
nominal voltage prediction	nominal voltageprediction
nominal voltage analysis	nominal voltageanalysis
nominal voltage optimization	nominal voltageoptimization
nominal voltage control	nominal voltagecontrol
nominal voltage monitoring	nominal voltagemonitoring
nominal voltage prognosis	nominal voltageprognosis
nominal voltage design	nominal voltagedesign
nominal voltage testing	nominal voltagetesting
nominal voltage validation	nominal voltagevalidation
nominal voltage verification	nominal voltageverification
operating voltage simulation	operating voltagesimulation
operating voltage estimation	operating voltageestimation
operating voltage prediction	operating voltageprediction
operating voltage optimization	operating voltageoptimization
operating voltage control	operating voltagecontrol
operating voltage monitoring	operating voltagemonitoring
operating voltage diagnosis	operating voltagediagnosis
operating voltage design	operating voltagedesign
operating voltage development	operating voltagedevelopment
operating voltage testing	operating voltagetesting
operating voltage verification	operating voltageverification
cutoff voltage modeling	cutoff voltagemodeling
cutoff voltage simulation	cutoff voltagesimulation
cutoff voltage prediction	cutoff voltageprediction
cutoff voltage analysis	cutoff voltageanalysis
cutoff voltage optimization	cutoff voltageoptimization
cutoff voltage control	cutoff voltagecontrol
cutoff voltage monitoring	cutoff voltagemonitoring
cutoff voltage testing	cutoff voltagetesting
cutoff voltage validation	cutoff voltagevalidation
cutoff voltage verification	cutoff voltageverification
open circuit voltage modeling	open circuit voltagemodeling
open circuit voltage simulation	open circuit voltagesimulation
open circuit voltage estimation	open circuit voltageestimation
open circuit voltage prediction	open circuit voltageprediction
open circuit voltage analysis	open circuit voltageanalysis
open circuit voltage optimization	open circuit voltageoptimization
open circuit voltage control	open circuit voltagecontrol
open circuit voltage design	open circuit voltagedesign
open circuit voltage development	open circuit voltagedevelopment
open circuit voltage validation	open circuit voltagevalidation
open circuit voltage verification	open circuit voltageverification
internal resistance simulation	internal resistancesimulation
internal resistance estimation	internal resistanceestimation
internal resistance prediction	internal resistanceprediction
internal resistance control	internal resistancecontrol
internal resistance diagnosis	internal resistancediagnosis
internal resistance prognosis	internal resistanceprognosis
internal resistance design	internal resistancedesign
internal resistance development	internal resistancedevelopment
internal resistance testing	internal resistancetesting
internal resistance validation	internal resistancevalidation
internal resistance verification	internal resistanceverification
DC resistance modeling	DC resistancemodeling
DC resistance simulation	DC resistancesimulation
DC resistance estimation	DC resistanceestimation
DC resistance prediction	DC resistanceprediction
DC resistance optimization	DC resistanceoptimization
DC resistance prognosis	DC resistanceprognosis
DC resistance development	DC resistancedevelopment
DC resistance testing	DC resistancetesting
AC impedance modeling	AC impedancemodeling
AC impedance simulation	AC impedancesimulation
AC impedance estimation	AC impedanceestimation
AC impedance prediction	AC impedanceprediction
AC impedance control	AC impedancecontrol
AC impedance monitoring	AC impedancemonitoring
AC impedance design	AC impedancedesign
AC impedance validation	AC impedancevalidation
AC impedance verification	AC impedanceverification
ohmic resistance simulation	ohmic resistancesimulation
ohmic resistance analysis	ohmic resistanceanalysis
ohmic resistance monitoring	ohmic resistancemonitoring
ohmic resistance diagnosis	ohmic resistancediagnosis
ohmic resistance design	ohmic resistancedesign
ohmic resistance development	ohmic resistancedevelopment
ohmic resistance testing	ohmic resistancetesting
ohmic resistance validation	ohmic resistancevalidation
ohmic resistance verification	ohmic resistanceverification
self-discharge rate simulation	self-discharge ratesimulation
self-discharge rate estimation	self-discharge rateestimation
self-discharge rate prediction	self-discharge rateprediction
self-discharge rate optimization	self-discharge rateoptimization
self-discharge rate control	self-discharge ratecontrol
self-discharge rate monitoring	self-discharge ratemonitoring
self-discharge rate diagnosis	self-discharge ratediagnosis
self-discharge rate prognosis	self-discharge rateprognosis
self-discharge rate design	self-discharge ratedesign
self-discharge rate development	self-discharge ratedevelopment
self-discharge rate validation	self-discharge ratevalidation
coulombic efficiency modeling	coulombic efficiencymodeling
coulombic efficiency simulation	coulombic efficiencysimulation
coulombic efficiency estimation	coulombic efficiencyestimation
coulombic efficiency prediction	coulombic efficiencyprediction
coulombic efficiency analysis	coulombic efficiencyanalysis
coulombic efficiency optimization	coulombic efficiencyoptimization
coulombic efficiency control	coulombic efficiencycontrol
coulombic efficiency monitoring	coulombic efficiencymonitoring
coulombic efficiency diagnosis	coulombic efficiencydiagnosis
coulombic efficiency prognosis	coulombic efficiencyprognosis
coulombic efficiency design	coulombic efficiencydesign
coulombic efficiency development	coulombic efficiencydevelopment
coulombic efficiency validation	coulombic efficiencyvalidation
coulombic efficiency verification	coulombic efficiencyverification
voltaic efficiency modeling	voltaic efficiencymodeling
voltaic efficiency simulation	voltaic efficiencysimulation
voltaic efficiency estimation	voltaic efficiencyestimation
voltaic efficiency prediction	voltaic efficiencyprediction
voltaic efficiency optimization	voltaic efficiencyoptimization
voltaic efficiency monitoring	voltaic efficiencymonitoring
voltaic efficiency diagnosis	voltaic efficiencydiagnosis
voltaic efficiency prognosis	voltaic efficiencyprognosis
voltaic efficiency design	voltaic efficiencydesign
voltaic efficiency development	voltaic efficiencydevelopment
voltaic efficiency testing	voltaic efficiencytesting
voltaic efficiency validation	voltaic efficiencyvalidation
voltaic efficiency verification	voltaic efficiencyverification
temperature coefficient modeling	temperature coefficientmodeling
temperature coefficient simulation	temperature coefficientsimulation
temperature coefficient estimation	temperature coefficientestimation
temperature coefficient prediction	temperature coefficientprediction
temperature coefficient analysis	temperature coefficientanalysis
temperature coefficient optimization	temperature coefficientoptimization
temperature coefficient monitoring	temperature coefficientmonitoring
temperature coefficient diagnosis	temperature coefficientdiagnosis
temperature coefficient design	temperature coefficientdesign
temperature coefficient testing	temperature coefficienttesting
temperature coefficient verification	temperature coefficientverification
thermal runaway modeling	thermal runawaymodeling
thermal runaway estimation	thermal runawayestimation
thermal runaway prediction	thermal runawayprediction
thermal runaway optimization	thermal runawayoptimization
thermal runaway monitoring	thermal runawaymonitoring
thermal runaway diagnosis	thermal runawaydiagnosis
thermal runaway prognosis	thermal runawayprognosis
thermal runaway design	thermal runawaydesign
thermal runaway validation	thermal runawayvalidation
thermal runaway verification	thermal runawayverification
thermal propagation modeling	thermal propagationmodeling
thermal propagation simulation	thermal propagationsimulation
thermal propagation optimization	thermal propagationoptimization
thermal propagation control	thermal propagationcontrol
thermal propagation monitoring	thermal propagationmonitoring
thermal propagation diagnosis	thermal propagationdiagnosis
thermal propagation development	thermal propagationdevelopment
thermal propagation testing	thermal propagationtesting
thermal propagation validation	thermal propagationvalidation
cell balancing modeling	cell balancingmodeling
cell balancing simulation	cell balancingsimulation
cell balancing estimation	cell balancingestimation
cell balancing analysis	cell balancinganalysis
cell balancing optimization	cell balancingoptimization
cell balancing control	cell balancingcontrol
cell balancing monitoring	cell balancingmonitoring
cell balancing prognosis	cell balancingprognosis
cell balancing design	cell balancingdesign
cell balancing development	cell balancingdevelopment
cell balancing testing	cell balancingtesting
cell balancing validation	cell balancingvalidation
cell balancing verification	cell balancingverification
passive balancing modeling	passive balancingmodeling
passive balancing simulation	passive balancingsimulation
passive balancing estimation	passive balancingestimation
passive balancing prediction	passive balancingprediction
passive balancing analysis	passive balancinganalysis
passive balancing optimization	passive balancingoptimization
passive balancing prognosis	passive balancingprognosis
passive balancing design	passive balancingdesign
passive balancing development	passive balancingdevelopment
passive balancing testing	passive balancingtesting
passive balancing validation	passive balancingvalidation
active balancing modeling	active balancingmodeling
active balancing simulation	active balancingsimulation
active balancing optimization	active balancingoptimization
active balancing monitoring	active balancingmonitoring
active balancing diagnosis	active balancingdiagnosis
active balancing prognosis	active balancingprognosis
active balancing testing	active balancingtesting
active balancing verification	active balancingverification
top balancing modeling	top balancingmodeling
top balancing simulation	top balancingsimulation
top balancing estimation	top balancingestimation
top balancing prediction	top balancingprediction
top balancing analysis	top balancinganalysis
top balancing optimization	top balancingoptimization
top balancing diagnosis	top balancingdiagnosis
top balancing prognosis	top balancingprognosis
top balancing design	top balancingdesign
top balancing development	top balancingdevelopment
top balancing validation	top balancingvalidation
state of charge estimation modeling	state of charge estimationmodeling
state of charge estimation simulation	state of charge estimationsimulation
state of charge estimation prediction	state of charge estimationprediction
state of charge estimation analysis	state of charge estimationanalysis
state of charge estimation optimization	state of charge estimationoptimization
state of charge estimation control	state of charge estimationcontrol
state of charge estimation monitoring	state of charge estimationmonitoring
state of charge estimation diagnosis	state of charge estimationdiagnosis
state of charge estimation prognosis	state of charge estimationprognosis
state of charge estimation design	state of charge estimationdesign
state of charge estimation development	state of charge estimationdevelopment
state of charge estimation testing	state of charge estimationtesting
state of health estimation modeling	state of health estimationmodeling
state of health estimation simulation	state of health estimationsimulation
state of health estimation estimation	state of health estimationestimation
state of health estimation control	state of health estimationcontrol
state of health estimation monitoring	state of health estimationmonitoring
state of health estimation diagnosis	state of health estimationdiagnosis
state of health estimation prognosis	state of health estimationprognosis
state of health estimation design	state of health estimationdesign
state of health estimation testing	state of health estimationtesting
state of health estimation validation	state of health estimationvalidation
remaining useful life simulation	remaining useful lifesimulation
remaining useful life prediction	remaining useful lifeprediction
remaining useful life analysis	remaining useful lifeanalysis
remaining useful life optimization	remaining useful lifeoptimization
remaining useful life prognosis	remaining useful lifeprognosis
remaining useful life design	remaining useful lifedesign
remaining useful life development	remaining useful lifedevelopment
remaining useful life testing	remaining useful lifetesting
remaining useful life validation	remaining useful lifevalidation
remaining useful life verification	remaining useful lifeverification
end of life criteria modeling	end of life criteriamodeling
end of life criteria simulation	end of life criteriasimulation
end of life criteria estimation	end of life criteriaestimation
end of life criteria prediction	end of life criteriaprediction
end of life criteria optimization	end of life criteriaoptimization
end of life criteria monitoring	end of life criteriamonitoring
end of life criteria diagnosis	end of life criteriadiagnosis
end of life criteria prognosis	end of life criteriaprognosis
end of life criteria development	end of life criteriadevelopment
end of life criteria validation	end of life criteriavalidation
end of life criteria verification	end of life criteriaverification
battery management simulation	battery managementsimulation
battery management prediction	battery managementprediction
battery management analysis	battery managementanalysis
battery management control	battery managementcontrol
battery management monitoring	battery managementmonitoring
battery management development	battery managementdevelopment
battery management testing	battery managementtesting
thermal management estimation	thermal managementestimation
thermal management prediction	thermal managementprediction
thermal management analysis	thermal managementanalysis
thermal management diagnosis	thermal managementdiagnosis
thermal management development	thermal managementdevelopment
safety management modeling	safety managementmodeling
safety management simulation	safety managementsimulation
safety management estimation	safety managementestimation
safety management prediction	safety managementprediction
safety management analysis	safety managementanalysis
safety management optimization	safety managementoptimization
safety management monitoring	safety managementmonitoring
safety management prognosis	safety managementprognosis
safety management design	safety managementdesign
safety management validation	safety managementvalidation
safety management verification	safety managementverification
competitive advantage	竞争优势
target audience	目标客户群
buyer persona	买家画像
tender evaluation	评标
hurdle rate	最低期望回报率
weighted average cost of capital	加权平均资本成本
discounted cash flow	贴现现金流
scenario analysis	情景分析
margin analysis	利润分析
operating margin	营业利润率
contribution margin	边际贡献
volume discount	批量折扣
pricing strategy	定价策略
value-based pricing	价值定价
penetration pricing	渗透定价
skimming pricing	撇脂定价
dynamic pricing	动态定价
price anchoring	价格锚定
upselling	向上销售
closing technique	成交技巧
trial close	试探性成交
assumptive close	假定成交
alternative close	选择成交
urgency close	紧迫成交
summary close	总结成交
advance payment guarantee	预付款保函
retention money	质保金
sales order	销售订单
air waybill	空运单
certificate of origin	原产地证书
FOB	离岸价
CIF	到岸价
EXW	工厂交货
DDP	完税后交货
indemnification	赔偿条款
jurisdiction	管辖权
SPIN selling	SPIN销售法
account-based selling	基于客户销售
customer relationship management	客户关系管理
sales engagement platform	销售互动平台
cold calling	冷不防电话
warm calling	暖线电话
probing question	探索性问题
mirroring technique	镜像技巧
power-interest grid	权力利益矩阵
weighted pipeline	加权销售漏斗
follow-up	跟进
lost deal analysis	输单分析
upsell rate	向上销售率
renewal rate	续约率
account evaluation	accountevaluation
account assessment	accountassessment
account generation	accountgeneration
account qualification	accountqualification
account conversion	accountconversion
account closure	accountclosure
account communication	accountcommunication
account clarification	accountclarification
account guidance	accountguidance
client development	clientdevelopment
client planning	clientplanning
client evaluation	clientevaluation
client explanation	clientexplanation
client engagement	clientengagement
client interaction	clientinteraction
client collaboration	clientcollaboration
customer planning	customerplanning
customer execution	customerexecution
customer monitoring	customermonitoring
customer improvement	customerimprovement
customer negotiation	customernegotiation
customer facilitation	customerfacilitation
customer demonstration	customerdemonstration
customer clarification	customerclarification
customer forecasting	customerforecasting
customer engagement	customerengagement
customer mentoring	customermentoring
prospect development	prospectdevelopment
prospect planning	prospectplanning
prospect monitoring	prospectmonitoring
prospect optimization	prospectoptimization
prospect qualification	prospectqualification
prospect nurturing	prospectnurturing
prospect facilitation	prospectfacilitation
prospect presentation	prospectpresentation
prospect demonstration	prospectdemonstration
prospect training	prospecttraining
prospect mentoring	prospectmentoring
prospect support	prospectsupport
lead negotiation	leadnegotiation
lead demonstration	leaddemonstration
lead reporting	leadreporting
lead mentoring	leadmentoring
lead support	leadsupport
opportunity execution	opportunityexecution
opportunity generation	opportunitygeneration
opportunity conversion	opportunityconversion
opportunity analysis	opportunityanalysis
opportunity reporting	opportunityreporting
opportunity forecasting	opportunityforecasting
opportunity interaction	opportunityinteraction
opportunity guidance	opportunityguidance
deal development	dealdevelopment
deal generation	dealgeneration
deal coordination	dealcoordination
deal clarification	dealclarification
deal analysis	dealanalysis
deal projection	dealprojection
deal collaboration	dealcollaboration
deal coaching	dealcoaching
bid development	biddevelopment
bid qualification	bidqualification
bid coordination	bidcoordination
bid analysis	bidanalysis
bid engagement	bidengagement
bid training	bidtraining
bid coaching	bidcoaching
bid support	bidsupport
tender improvement	tenderimprovement
tender negotiation	tendernegotiation
tender analysis	tenderanalysis
tender reporting	tenderreporting
tender forecasting	tenderforecasting
proposal management	proposalmanagement
proposal execution	proposalexecution
proposal monitoring	proposalmonitoring
proposal assessment	proposalassessment
proposal improvement	proposalimprovement
proposal qualification	proposalqualification
proposal closure	proposalclosure
proposal demonstration	proposaldemonstration
proposal explanation	proposalexplanation
proposal analysis	proposalanalysis
proposal coaching	proposalcoaching
contract execution	contractexecution
contract negotiation	contractnegotiation
contract communication	contractcommunication
contract explanation	contractexplanation
contract clarification	contractclarification
contract forecasting	contractforecasting
contract engagement	contractengagement
contract collaboration	contractcollaboration
contract partnership	contractpartnership
contract coaching	contractcoaching
contract guidance	contractguidance
agreement execution	agreementexecution
agreement monitoring	agreementmonitoring
agreement evaluation	agreementevaluation
agreement closure	agreementclosure
agreement facilitation	agreementfacilitation
agreement communication	agreementcommunication
agreement clarification	agreementclarification
agreement analysis	agreementanalysis
agreement engagement	agreementengagement
agreement collaboration	agreementcollaboration
agreement partnership	agreementpartnership
agreement training	agreementtraining
order development	orderdevelopment
order tracking	ordertracking
order monitoring	ordermonitoring
order assessment	orderassessment
order conversion	orderconversion
order coordination	ordercoordination
order presentation	orderpresentation
order demonstration	orderdemonstration
order clarification	orderclarification
order analysis	orderanalysis
order review	orderreview
order interaction	orderinteraction
order training	ordertraining
order guidance	orderguidance
quotation generation	quotationgeneration
quotation nurturing	quotationnurturing
quotation facilitation	quotationfacilitation
quotation coordination	quotationcoordination
quotation review	quotationreview
quotation coaching	quotationcoaching
estimate communication	estimatecommunication
estimate demonstration	estimatedemonstration
estimate review	estimatereview
estimate projection	estimateprojection
estimate collaboration	estimatecollaboration
estimate support	estimatesupport
invoice planning	invoiceplanning
invoice evaluation	invoiceevaluation
invoice presentation	invoicepresentation
invoice reporting	invoicereporting
invoice engagement	invoiceengagement
invoice coaching	invoicecoaching
invoice guidance	invoiceguidance
invoice support	invoicesupport
payment development	paymentdevelopment
payment tracking	paymenttracking
payment assessment	paymentassessment
payment coordination	paymentcoordination
payment projection	paymentprojection
payment coaching	paymentcoaching
payment guidance	paymentguidance
discount management	discountmanagement
discount planning	discountplanning
discount evaluation	discountevaluation
discount nurturing	discountnurturing
discount closure	discountclosure
discount clarification	discountclarification
discount engagement	discountengagement
discount interaction	discountinteraction
discount guidance	discountguidance
commission negotiation	commissionnegotiation
commission coordination	commissioncoordination
commission communication	commissioncommunication
commission presentation	commissionpresentation
commission demonstration	commissiondemonstration
commission analysis	commissionanalysis
commission reporting	commissionreporting
commission forecasting	commissionforecasting
commission mentoring	commissionmentoring
commission guidance	commissionguidance
commission support	commissionsupport
bonus management	bonusmanagement
bonus monitoring	bonusmonitoring
bonus evaluation	bonusevaluation
bonus generation	bonusgeneration
bonus facilitation	bonusfacilitation
bonus partnership	bonuspartnership
bonus mentoring	bonusmentoring
incentive management	incentivemanagement
incentive execution	incentiveexecution
incentive communication	incentivecommunication
incentive presentation	incentivepresentation
incentive clarification	incentiveclarification
incentive analysis	incentiveanalysis
incentive projection	incentiveprojection
reward development	rewarddevelopment
reward assessment	rewardassessment
reward improvement	rewardimprovement
reward conversion	rewardconversion
reward negotiation	rewardnegotiation
reward communication	rewardcommunication
reward presentation	rewardpresentation
reward projection	rewardprojection
reward coaching	rewardcoaching
quota execution	quotaexecution
quota qualification	quotaqualification
quota conversion	quotaconversion
quota coordination	quotacoordination
quota demonstration	quotademonstration
quota analysis	quotaanalysis
quota engagement	quotaengagement
quota interaction	quotainteraction
quota partnership	quotapartnership
target management	targetmanagement
target execution	targetexecution
target tracking	targettracking
target qualification	targetqualification
target communication	targetcommunication
target explanation	targetexplanation
target forecasting	targetforecasting
target engagement	targetengagement
target partnership	targetpartnership
revenue planning	revenueplanning
revenue tracking	revenuetracking
revenue nurturing	revenuenurturing
revenue facilitation	revenuefacilitation
revenue coordination	revenuecoordination
revenue communication	revenuecommunication
revenue review	revenuereview
revenue partnership	revenuepartnership
revenue coaching	revenuecoaching
profit development	profitdevelopment
profit planning	profitplanning
profit nurturing	profitnurturing
profit closure	profitclosure
profit communication	profitcommunication
profit explanation	profitexplanation
profit forecasting	profitforecasting
profit partnership	profitpartnership
profit coaching	profitcoaching
profit support	profitsupport
margin qualification	marginqualification
margin facilitation	marginfacilitation
margin projection	marginprojection
margin interaction	margininteraction
margin support	marginsupport
cost planning	costplanning
cost execution	costexecution
cost monitoring	costmonitoring
cost evaluation	costevaluation
cost improvement	costimprovement
cost presentation	costpresentation
cost guidance	costguidance
price tracking	pricetracking
